391	不良	フリョウ		不[フ]良[リョウ]	bad	poor, inferior, delinquent, hoodlum, hooligan
392	束	たば		束[たば]	bundle	bunch, sheaf
393	高速	コウソク		高[コウ]速[ソク]	high-speed	rapid, express, highway, freeway, expressway, motorway
394	速やか	すみやか		速[すみ]やか	quick	speedy, prompt, rapid, swift
395	東	ひがし		東[ひがし]	east	
396	練る	ねる		練[ね]る	to knead	to thicken into a paste (stirring over a flame), to walk in procession, to parade, to march
397	地図	チズ		地[チ]図[ズ]	map	
398	土地	トチ		土[ト]地[チ]	plot of land	lot, soil
399	地位	チイ		地[チ]位[イ]	(social) position	status
400	地元	ジもと		地[ジ]元[もと]	home area	home town, local
401	他	ほか		他[ほか]	other (place	thing, person), the rest, nothing except, nothing but, nothing apart from, nothing aside from, no choice (but to)
402	他人	タニン		他[タ]人[ニン]	another person	other people, others
403	池	いけ		池[いけ]	pond	
404	応じる	オウじる		応[オウ]じる	to respond	to satisfy, to accept, to comply with, to apply for
405	一応	イチオウ		一[イチ]応[オウ]	more or less	though not quite satisfactorily, after a fashion, pretty much, roughly, so far as it goes, tentatively, for the time being
406	応対	オウタイ		応[オウ]対[タイ]	dealing with (people	customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving
407	応える	こたえる		応[こた]える	to respond	to answer, to meet (e.g. demands, expectations)
408	府立	フリツ		府[フ]立[リツ]	managed by an urban prefecture	prefectural
409	広い	ひろい		広[ひろ]い	spacious	vast, wide
